datetime,NEE,NEE_F_MDS,FCH4,FCH4_F_MDS
2021-05-29T12:00:00Z,-6.0963629,-6.0963629,0.061574879,0.061574879
2021-05-29T12:30:00Z,-6.219940200000001,-6.219940200000001,NA,0.09614446265
2021-05-29T13:00:00Z,-5.94422,-5.94422,0.11271075,0.11271075
2021-05-29T13:30:00Z,-10.450429,-10.450429,NA,0.09715757655714286
2021-05-29T14:00:00Z,-4.166479600000001,-4.166479600000001,0.08399265900000001,0.08399265900000001
2021-05-29T14:30:00Z,-5.1979888,-5.1979888,NA,0.0912869798365
2021-05-29T15:00:00Z,-6.606594,-6.606594,0.113152208,0.113152208
2021-05-29T15:30:00Z,-2.4423456999999997,-2.4423456999999997,0.092989536,0.092989536
2021-05-29T16:00:00Z,-4.2417717,-4.2417717,0.07998042799999999,0.07998042799999999
2021-05-29T16:30:00Z,-2.4580038,-2.4580038,0.099488355,0.099488355
2021-05-29T17:00:00Z,-1.84439444,-1.84439444,0.093181199,0.093181199
2021-05-29T17:30:00Z,-0.3496982,-0.3496982,0.08646872400000001,0.08646872400000001
2021-05-29T18:00:00Z,1.2884194999999998,1.2884194999999998,0.085242793,0.085242793
2021-05-29T18:30:00Z,1.841104,1.841104,0.103638974,0.103638974
2021-05-29T19:00:00Z,NA,5.854021507692307,0.08959937,0.08959937
2021-05-29T19:30:00Z,3.820076,3.820076,0.0823697527,0.0823697527
2021-05-29T20:00:00Z,5.8713979,5.8713979,0.081669401,0.081669401
2021-05-29T20:30:00Z,8.478176,8.478176,0.06200635,0.06200635
2021-05-29T21:00:00Z,7.564271,7.564271,0.03667621999999999,0.03667621999999999
2021-05-29T21:30:00Z,9.382659,9.382659,0.04537431999999999,0.04537431999999999
2021-05-29T22:00:00Z,9.1509766,9.1509766,0.04683775,0.04683775
2021-05-29T22:30:00Z,7.552039000000001,7.552039000000001,0.05521634,0.05521634
2021-05-29T23:00:00Z,7.085264,7.085264,0.04789693299999999,0.04789693299999999
2021-05-29T23:30:00Z,6.6028007,6.6028007,0.041613738,0.041613738
2021-05-30T00:00:00Z,8.114487,8.114487,0.039649644,0.039649644
2021-05-30T00:30:00Z,7.239402,7.239402,0.05296478,0.05296478
2021-05-30T01:00:00Z,9.728436,9.728436,0.051010303,0.051010303
2021-05-30T01:30:00Z,5.186640000000001,8.755442333333333,0.04505394,0.053095164
2021-05-30T02:00:00Z,6.64841,9.583560374074072,0.04101497,0.060434762125
2021-05-30T02:30:00Z,10.6267679,10.47441087,0.059760507,0.07027875433333333
2021-05-30T03:00:00Z,8.5073,8.5073,0.04057969,0.04057969
2021-05-30T03:30:00Z,9.781727,9.781727,NA,0.05611629699999999
2021-05-30T04:00:00Z,9.662434,9.662434,NA,0.05611629699999999
2021-05-30T04:30:00Z,9.6135052,9.6135052,0.03225062,0.03225062
2021-05-30T05:00:00Z,NA,8.983124742857143,NA,0.05936430125
2021-05-30T05:30:00Z,6.477036,6.477036,0.08357005,0.08357005
2021-05-30T06:00:00Z,6.0096521,6.0096521,0.09139995,0.09139995
2021-05-30T06:30:00Z,NA,-1.8855180833333336,0.066990687,0.066990687
2021-05-30T07:00:00Z,NA,-1.981029624,0.10520983,0.10520983
2021-05-30T07:30:00Z,-2.4372782,-2.4372782,0.091493989,0.091493989
2021-05-30T08:00:00Z,-3.842782,-3.842782,0.10050944647,0.10050944647
2021-05-30T08:30:00Z,-4.153335,-4.153335,0.117015502,0.117015502
2021-05-30T09:00:00Z,-5.756997,-5.756997,0.08112776000000001,0.08112776000000001
2021-05-30T09:30:00Z,-6.161085,-6.161085,0.071809953,0.071809953
2021-05-30T10:00:00Z,-9.37168,-9.37168,0.094867473,0.094867473
2021-05-30T10:30:00Z,-12.501157,-12.501157,0.06002997,0.06002997
2021-05-30T11:00:00Z,-15.4599122,-15.4599122,0.082773968,0.082773968
2021-05-30T11:30:00Z,-12.6683054,-12.6683054,0.04231405389999999,0.04231405389999999
2021-05-30T12:00:00Z,-5.652641999999999,-5.652641999999999,0.26137614000000003,0.26137614000000003
